hgnc_id	gene	source_id	source_group_id	membership	membership_column	source_symbols
HGNC:3775	FMR1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	FMR1
HGNC:4280	GJC1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	GJC1
HGNC:4319	GLI3	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	GLI3
HGNC:4319	GLI3	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	GLI3
HGNC:4319	GLI3	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	GLI3
HGNC:4319	GLI3	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	GLI3
HGNC:10524	SALL1	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	SALL1
HGNC:10524	SALL1	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	SALL1
HGNC:10524	SALL1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	SALL1
HGNC:10524	SALL1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	SALL1
HGNC:10524	SALL1	griffin2023_supp3_denovo	griffin2023	1	Griffin_2023_Supp_Table_3_Curated_De_Novo Variants.csv	SALL1
HGNC:10524	SALL1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	SALL1
HGNC:10524	SALL1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	SALL1
HGNC:18541	KMT2E	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	KMT2E
HGNC:18541	KMT2E	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	KMT2E
HGNC:5466	IGF2	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	IGF2
HGNC:5466	IGF2	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	IGF2
HGNC:11188	SOS2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	SOS2
HGNC:11188	SOS2	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	SOS2
HGNC:11188	SOS2	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	SOS2
HGNC:11188	SOS2	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	SOS2
HGNC:24750	ZNF699	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	ZNF699
HGNC:12682	VEGFC	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	VEGFC
HGNC:10249	ROBO1	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	ROBO1
HGNC:10249	ROBO1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	ROBO1
HGNC:10249	ROBO1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	ROBO1
HGNC:9896	RBM10	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	RBM10
HGNC:9896	RBM10	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	RBM10
HGNC:9896	RBM10	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	RBM10
HGNC:11714	TEAD1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	TEAD1
HGNC:7820	NHS	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	NHS
HGNC:7820	NHS	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	NHS
HGNC:7820	NHS	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	NHS
HGNC:7820	NHS	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	NHS
HGNC:7820	NHS	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	NHS
HGNC:8632	PBX1	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	PBX1
HGNC:8632	PBX1	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	PBX1
HGNC:8632	PBX1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	PBX1
HGNC:8632	PBX1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	PBX1
HGNC:8632	PBX1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	PBX1
HGNC:8632	PBX1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	PBX1
HGNC:24663	RABGAP1L	sierant_dominant60	sierant2025	1	Sierant dominant 60	RABGAP1L
HGNC:7577	MYH7	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	MYH7
HGNC:7577	MYH7	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	MYH7
HGNC:7577	MYH7	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	MYH7
HGNC:7577	MYH7	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	MYH7
HGNC:7577	MYH7	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	MYH7
HGNC:7577	MYH7	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	MYH7
HGNC:10725	SEMA3C	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	SEMA3C
HGNC:8923	PHGDH	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	PHGDH
